Rank,NOC,Gold,Silver,Bronze,Total,Year,Host_NOC,Host_Flag,Total_Events_Per_Year,Athlete_Count,Sport_Count,Historical_Total,Historical_Gold,Gold_Total,Total_Total
59,Croatia,0,2,3,5,2008,CHN,0,673,99.0,15.0,12.0,2.0,302,958
26,Croatia,3,1,2,6,2012,UNK,0,670,107.0,17.0,16.0,4.0,303,960
17,Croatia,5,3,2,10,2016,BRA,0,682,85.0,18.0,21.0,8.0,306,972
26,Croatia,3,3,2,8,2020,UNK,0,761,60.0,17.0,24.0,11.0,340,1080
30,Croatia,2,2,3,7,2024,FRA,0,738,73.0,16.0,25.0,10.0,328,1039
12,Cuba,1,1,0,2,1900,FRA,0,236,1.0,1.0,2.0,1.0,96,284
4,Cuba,3,0,0,3,1904,USA,0,224,3.0,2.0,5.0,4.0,97,280
28,Cuba,0,1,0,1,1948,UNK,0,312,51.0,11.0,6.0,4.0,138,411
30,Cuba,0,1,0,1,1964,JPN,0,370,27.0,6.0,5.0,3.0,163,504
31,Cuba,0,4,0,4,1968,UNK,0,386,115.0,13.0,6.0,0.0,174,527
14,Cuba,3,1,4,8,1972,GER,0,439,137.0,14.0,13.0,3.0,195,600
8,Cuba,6,4,3,13,1976,CAN,0,444,156.0,14.0,25.0,9.0,198,613
4,Cuba,8,7,5,20,1980,URS,0,454,203.0,19.0,41.0,17.0,204,631
5,Cuba,14,6,11,31,1992,ESP,0,573,176.0,16.0,64.0,28.0,260,815
8,Cuba,9,8,8,25,1996,USA,0,604,164.0,15.0,76.0,31.0,271,842
9,Cuba,11,11,7,29,2000,AUS,0,667,229.0,24.0,85.0,34.0,300,927
11,Cuba,9,7,11,27,2004,GRE,0,669,151.0,18.0,81.0,29.0,301,926
19,Cuba,3,10,17,30,2008,CHN,0,673,154.0,17.0,86.0,23.0,302,958
16,Cuba,5,3,7,15,2012,UNK,0,670,109.0,14.0,72.0,17.0,303,960
18,Cuba,5,2,4,11,2016,BRA,0,682,117.0,19.0,56.0,13.0,306,972
14,Cuba,7,3,5,15,2020,UNK,0,761,69.0,15.0,41.0,17.0,340,1080
32,Cuba,2,1,6,9,2024,FRA,0,738,61.0,16.0,35.0,14.0,328,1039
70,Cyprus,0,1,0,1,2012,UNK,0,670,13.0,7.0,1.0,0.0,303,960
74,Cyprus,0,1,0,1,2024,FRA,0,738,15.0,9.0,2.0,0.0,328,1039
17,Czech Republic,4,3,4,11,1996,USA,0,604,111.0,17.0,11.0,4.0,271,842
28,Czech Republic,2,3,3,8,2000,AUS,0,667,111.0,20.0,19.0,6.0,300,927
42,Czech Republic,1,3,5,9,2004,GRE,0,669,136.0,20.0,28.0,7.0,301,926
25,Czech Republic,3,3,1,7,2008,CHN,0,673,131.0,21.0,24.0,6.0,302,958
19,Czech Republic,4,4,3,11,2012,UNK,0,670,126.0,21.0,27.0,8.0,303,960
43,Czech Republic,1,2,7,10,2016,BRA,0,682,103.0,20.0,28.0,8.0,306,972
18,Czech Republic,4,4,3,11,2020,UNK,0,761,115.0,26.0,32.0,9.0,340,1080
28,Czech Republic,3,0,2,5,2024,FRA,0,738,0.0,0.0,26.0,8.0,328,1039
21,Czechoslovakia,0,0,2,2,1920,BEL,0,363,118.0,13.0,2.0,0.0,155,438
15,Czechoslovakia,1,4,5,10,1924,FRA,0,292,132.0,16.0,12.0,1.0,126,378
14,Czechoslovakia,2,5,2,9,1928,NED,0,252,69.0,14.0,21.0,3.0,110,327
17,Czechoslovakia,1,3,2,6,1932,USA,0,268,25.0,4.0,25.0,4.0,125,370
13,Czechoslovakia,3,5,1,9,1936,GER,0,302,189.0,17.0,24.0,6.0,141,422
8,Czechoslovakia,6,2,3,11,1948,UNK,0,312,87.0,11.0,26.0,10.0,138,411
6,Czechoslovakia,7,3,3,13,1952,FIN,0,338,99.0,11.0,33.0,16.0,149,459
18,Czechoslovakia,1,4,1,6,1956,AUS,0,342,63.0,10.0,30.0,14.0,153,469
10,Czechoslovakia,3,2,3,8,1960,ITA,0,340,116.0,13.0,27.0,11.0,152,461
9,Czechoslovakia,5,6,3,14,1964,JPN,0,370,104.0,13.0,28.0,9.0,163,504
7,Czechoslovakia,7,2,4,13,1968,UNK,0,386,121.0,14.0,35.0,15.0,174,527
18,Czechoslovakia,2,4,2,8,1972,GER,0,439,175.0,17.0,35.0,14.0,195,600
17,Czechoslovakia,2,2,4,8,1976,CAN,0,444,163.0,16.0,29.0,11.0,198,613
13,Czechoslovakia,2,3,9,14,1980,URS,0,454,209.0,21.0,30.0,6.0,204,631
17,Czechoslovakia,3,3,2,8,1988,KOR,0,528,163.0,17.0,30.0,7.0,241,739
15,Czechoslovakia,4,2,1,7,1992,ESP,0,573,202.0,25.0,29.0,9.0,260,815
9,Denmark,1,2,3,6,1896,GRE,0,107,3.0,5.0,6.0,1.0,43,122
10,Denmark,1,3,2,6,1900,FRA,0,236,11.0,4.0,12.0,2.0,96,284
16,Denmark,0,2,3,5,1908,UNK,0,267,78.0,8.0,17.0,2.0,110,324
14,Denmark,1,6,5,12,1912,SWE,0,236,131.0,12.0,23.0,2.0,102,312
10,Denmark,3,9,1,13,1920,BEL,0,363,151.0,14.0,30.0,4.0,155,438
12,Denmark,2,5,2,9,1924,FRA,0,292,86.0,13.0,34.0,6.0,126,378
13,Denmark,3,1,2,6,1928,NED,0,252,87.0,14.0,28.0,8.0,110,327
20,Denmark,0,5,3,8,1932,USA,0,268,43.0,9.0,23.0,5.0,125,370
23,Denmark,0,2,3,5,1936,GER,0,302,114.0,13.0,19.0,3.0,141,422
10,Denmark,5,7,8,20,1948,UNK,0,312,152.0,17.0,33.0,5.0,138,411
15,Denmark,2,1,3,6,1952,FIN,0,338,122.0,15.0,31.0,7.0,149,459
20,Denmark,1,2,1,4,1956,AUS,0,342,34.0,11.0,30.0,8.0,153,469
13,Denmark,2,3,1,6,1960,ITA,0,340,91.0,15.0,16.0,5.0,152,461
18,Denmark,2,1,3,6,1964,JPN,0,370,52.0,10.0,16.0,5.0,163,504
22,Denmark,1,4,3,8,1968,UNK,0,386,62.0,11.0,20.0,5.0,174,527
25,Denmark,1,0,0,1,1972,GER,0,439,126.0,17.0,15.0,4.0,195,600
24,Denmark,1,0,2,3,1976,CAN,0,444,66.0,15.0,12.0,3.0,198,613
16,Denmark,2,1,2,5,1980,URS,0,454,58.0,13.0,9.0,4.0,204,631
27,Denmark,0,3,3,6,1984,USA,0,492,60.0,11.0,14.0,3.0,226,688
23,Denmark,2,1,1,4,1988,KOR,0,528,78.0,15.0,15.0,4.0,241,739
30,Denmark,1,1,4,6,1992,ESP,0,573,101.0,14.0,16.0,3.0,260,815
19,Denmark,4,1,1,6,1996,USA,0,604,112.0,14.0,16.0,7.0,271,842
30,Denmark,2,3,1,6,2000,AUS,0,667,89.0,16.0,18.0,7.0,300,927
34,Denmark,2,1,5,8,2004,GRE,0,669,84.0,16.0,20.0,8.0,301,926
30,Denmark,2,2,3,7,2008,CHN,0,673,80.0,16.0,21.0,6.0,302,958
30,Denmark,2,4,3,9,2012,UNK,0,670,111.0,17.0,24.0,6.0,303,960
27,Denmark,2,6,7,15,2016,BRA,0,682,117.0,16.0,31.0,6.0,306,972
25,Denmark,3,4,4,11,2020,UNK,0,761,108.0,19.0,35.0,7.0,340,1080
29,Denmark,2,2,5,9,2024,FRA,0,738,128.0,24.0,35.0,7.0,328,1039
46,Djibouti,0,0,1,1,1988,KOR,0,528,6.0,2.0,1.0,0.0,241,739
62,Dominica,1,0,0,1,2024,FRA,0,738,4.0,2.0,1.0,1.0,328,1039
43,Dominican Republic,0,0,1,1,1984,USA,0,492,19.0,7.0,1.0,0.0,226,688
54,Dominican Republic,1,0,0,1,2004,GRE,0,669,33.0,9.0,2.0,1.0,301,926
47,Dominican Republic,1,1,0,2,2008,CHN,0,673,24.0,9.0,4.0,2.0,302,958
47,Dominican Republic,1,1,0,2,2012,UNK,0,670,33.0,10.0,5.0,3.0,303,960
78,Dominican Republic,0,0,1,1,2016,BRA,0,682,26.0,11.0,5.0,2.0,306,972
68,Dominican Republic,0,3,2,5,2020,UNK,0,761,66.0,11.0,8.0,1.0,340,1080
59,Dominican Republic,1,0,2,3,2024,FRA,0,738,59.0,13.0,9.0,1.0,328,1039
5,East Germany,9,9,7,25,1968,UNK,0,386,225.0,18.0,25.0,9.0,174,527
3,East Germany,20,23,23,66,1972,GER,0,439,291.0,18.0,91.0,29.0,195,600
2,East Germany,40,25,25,90,1976,CAN,0,444,267.0,17.0,181.0,69.0,198,613
2,East Germany,47,37,42,126,1980,URS,0,454,346.0,17.0,282.0,107.0,204,631
2,East Germany,37,35,30,102,1988,KOR,0,528,259.0,16.0,318.0,124.0,241,739
49,Ecuador,1,0,0,1,1996,USA,0,604,19.0,7.0,1.0,1.0,271,842
72,Ecuador,0,1,0,1,2008,CHN,0,673,25.0,9.0,2.0,1.0,302,958
38,Ecuador,2,1,0,3,2020,UNK,0,761,47.0,17.0,5.0,3.0,340,1080
49,Ecuador,1,2,2,5,2024,FRA,0,738,40.0,14.0,9.0,3.0,328,1039
17,Egypt,2,1,1,4,1928,NED,0,252,32.0,5.0,4.0,2.0,110,327
16,Egypt,2,1,2,5,1936,GER,0,302,53.0,10.0,9.0,4.0,141,422
16,Egypt,2,2,1,5,1948,UNK,0,312,85.0,12.0,14.0,6.0,138,411
40,Egypt,0,0,1,1,1952,FIN,0,338,106.0,14.0,11.0,4.0,149,459
30,Egypt,0,1,1,2,1960,ITA,0,340,0.0,0.0,8.0,2.0,152,461
33,Egypt,0,1,0,1,1984,USA,0,492,113.0,15.0,4.0,0.0,226,688
46,Egypt,1,1,3,5,2004,GRE,0,669,96.0,17.0,8.0,1.0,301,926
81,Egypt,0,0,2,2,2008,CHN,0,673,100.0,19.0,8.0,1.0,302,958
56,Egypt,0,3,1,4,2012,UNK,0,670,109.0,21.0,11.0,1.0,303,960
75,Egypt,0,0,3,3,2016,BRA,0,682,118.0,23.0,9.0,0.0,306,972
54,Egypt,1,1,4,6,2020,UNK,0,761,140.0,27.0,13.0,1.0,340,1080
52,Egypt,1,1,1,3,2024,FRA,0,738,155.0,26.0,12.0,2.0,328,1039
71,Eritrea,0,0,1,1,2004,GRE,0,669,4.0,1.0,1.0,0.0,301,926
14,Estonia,1,2,0,3,1920,BEL,0,363,14.0,3.0,3.0,1.0,155,438
17,Estonia,1,1,4,6,1924,FRA,0,292,37.0,5.0,9.0,2.0,126,378
16,Estonia,2,1,2,5,1928,NED,0,252,15.0,4.0,14.0,4.0,110,327
14,Estonia,2,2,3,7,1936,GER,0,302,32.0,7.0,18.0,5.0,141,422
34,Estonia,1,0,1,2,1992,ESP,0,573,37.0,13.0,14.0,5.0,260,815
47,Estonia,1,0,2,3,2000,AUS,0,667,33.0,11.0,12.0,4.0,300,927
64,Estonia,0,1,2,3,2004,GRE,0,669,42.0,10.0,8.0,2.0,301,926
47,Estonia,1,1,0,2,2008,CHN,0,673,47.0,13.0,8.0,2.0,302,958
65,Estonia,0,1,1,2,2012,UNK,0,670,32.0,11.0,7.0,1.0,303,960
78,Estonia,0,0,1,1,2016,BRA,0,682,46.0,13.0,5.0,1.0,306,972
59,Estonia,1,0,1,2,2020,UNK,0,761,33.0,15.0,5.0,1.0,340,1080
21,Ethiopia,1,0,0,1,1960,ITA,0,340,10.0,2.0,1.0,1.0,152,461
24,Ethiopia,1,0,0,1,1964,JPN,0,370,12.0,3.0,2.0,2.0,163,504
25,Ethiopia,1,1,0,2,1968,UNK,0,386,18.0,3.0,4.0,3.0,174,527
41,Ethiopia,0,0,2,2,1972,GER,0,439,31.0,3.0,5.0,2.0,195,600
17,Ethiopia,2,0,2,4,1980,URS,0,454,41.0,3.0,8.0,3.0,204,631
33,Ethiopia,1,0,2,3,1992,ESP,0,573,20.0,2.0,9.0,3.0,260,815
34,Ethiopia,2,0,1,3,1996,USA,0,604,18.0,2.0,10.0,5.0,271,842
20,Ethiopia,4,1,3,8,2000,AUS,0,667,26.0,2.0,14.0,7.0,300,927
28,Ethiopia,2,3,2,7,2004,GRE,0,669,26.0,2.0,18.0,8.0,301,926
17,Ethiopia,4,2,1,7,2008,CHN,0,673,27.0,1.0,22.0,10.0,302,958
25,Ethiopia,3,2,3,8,2012,UNK,0,670,33.0,2.0,22.0,9.0,303,960
44,Ethiopia,1,2,5,8,2016,BRA,0,682,37.0,3.0,23.0,8.0,306,972
56,Ethiopia,1,1,2,4,2020,UNK,0,761,37.0,4.0,20.0,5.0,340,1080
47,Ethiopia,1,3,0,4,2024,FRA,0,738,33.0,2.0,16.0,3.0,328,1039
41,FR Yugoslavia,1,1,2,4,1996,USA,0,604,0.0,0.0,4.0,1.0,271,842
44,FR Yugoslavia,1,1,1,3,2000,AUS,0,667,0.0,0.0,7.0,2.0,300,927
54,Fiji,1,0,0,1,2016,BRA,0,682,53.0,10.0,1.0,1.0,306,972
59,Fiji,1,0,1,2,2020,UNK,0,761,32.0,6.0,3.0,2.0,340,1080
74,Fiji,0,1,0,1,2024,FRA,0,738,36.0,7.0,4.0,2.0,328,1039
13,Finland,1,1,3,5,1908,UNK,0,267,62.0,6.0,5.0,1.0,110,324
4,Finland,9,8,9,26,1912,SWE,0,236,132.0,9.0,31.0,10.0,102,312
3,Finland,15,10,9,34,1920,BEL,0,363,63.0,9.0,65.0,25.0,155,438
2,Finland,14,13,10,37,1924,FRA,0,292,121.0,12.0,97.0,38.0,126,378
3,Finland,8,8,9,25,1928,NED,0,252,69.0,11.0,96.0,37.0,110,327
8,Finland,5,8,12,25,1932,USA,0,268,40.0,5.0,87.0,27.0,125,370
5,Finland,8,6,6,20,1936,GER,0,302,96.0,13.0,70.0,21.0,141,422
6,Finland,8,7,5,20,1948,UNK,0,312,118.0,16.0,65.0,21.0,138,411
8,Finland,6,3,13,22,1952,FIN,1,338,245.0,18.0,62.0,22.0,149,459
13,Finland,3,1,11,15,1956,AUS,0,342,68.0,14.0,57.0,17.0,153,469
17,Finland,1,1,3,5,1960,ITA,0,340,109.0,14.0,42.0,10.0,152,461
12,Finland,3,0,2,5,1964,JPN,0,370,84.0,12.0,25.0,7.0,163,504
24,Finland,1,2,1,4,1968,UNK,0,386,66.0,13.0,14.0,5.0,174,527
14,Finland,3,1,4,8,1972,GER,0,439,96.0,16.0,17.0,7.0,195,600
11,Finland,4,2,0,6,1976,CAN,0,444,83.0,14.0,18.0,8.0,198,613
12,Finland,3,1,4,8,1980,URS,0,454,105.0,16.0,22.0,10.0,204,631
15,Finland,4,2,6,12,1984,USA,0,492,86.0,15.0,26.0,11.0,226,688
25,Finland,1,1,2,4,1988,KOR,0,528,78.0,15.0,24.0,8.0,241,739
29,Finland,1,2,2,5,1992,ESP,0,573,87.0,16.0,21.0,6.0,260,815
40,Finland,1,2,1,4,1996,USA,0,604,76.0,15.0,13.0,3.0,271,842
31,Finland,2,1,1,4,2000,AUS,0,667,70.0,16.0,13.0,4.0,300,927
61,Finland,0,2,0,2,2004,GRE,0,669,53.0,12.0,10.0,3.0,301,926
44,Finland,1,1,2,4,2008,CHN,0,673,57.0,14.0,10.0,3.0,302,958
60,Finland,0,2,1,3,2012,UNK,0,670,56.0,14.0,9.0,1.0,303,960
78,Finland,0,0,1,1,2016,BRA,0,682,54.0,17.0,8.0,1.0,306,972
85,Finland,0,0,2,2,2020,UNK,0,761,45.0,11.0,6.0,0.0,340,1080
32,Formosa,0,1,0,1,1960,ITA,0,340,0.0,0.0,1.0,0.0,152,461
4,France,5,4,2,11,1896,GRE,0,107,12.0,6.0,11.0,5.0,43,122
1,France,27,39,37,103,1900,FRA,1,236,536.0,12.0,114.0,32.0,96,284
13,France,0,1,0,1,1904,USA,0,224,1.0,1.0,115.0,32.0,97,280
4,France,5,5,9,19,1908,UNK,0,267,182.0,10.0,123.0,32.0,110,324
5,France,7,4,3,14,1912,SWE,0,236,99.0,11.0,34.0,12.0,102,312
8,France,9,19,13,41,1920,BEL,0,363,298.0,22.0,74.0,21.0,155,438
3,France,13,15,10,38,1924,FRA,1,292,391.0,20.0,93.0,29.0,126,378
7,France,6,10,5,21,1928,NED,0,252,244.0,17.0,100.0,28.0,110,327
3,France,11,5,4,20,1932,USA,0,268,101.0,13.0,79.0,30.0,125,370
6,France,7,6,6,19,1936,GER,0,302,187.0,17.0,60.0,24.0,141,422
3,France,10,6,13,29,1948,UNK,0,312,304.0,20.0,68.0,28.0,138,411
7,France,6,6,6,18,1952,FIN,0,338,237.0,18.0,66.0,23.0,149,459
11,France,4,4,6,14,1956,AUS,0,342,138.0,16.0,61.0,20.0,153,469
25,France,0,2,3,5,1960,ITA,0,340,228.0,19.0,37.0,10.0,152,461
21,France,1,8,6,15,1964,JPN,0,370,136.0,14.0,34.0,5.0,163,504
6,France,7,3,5,15,1968,UNK,0,386,200.0,16.0,35.0,8.0,174,527
17,France,2,4,7,13,1972,GER,0,439,227.0,18.0,43.0,10.0,195,600
15,France,2,3,4,9,1976,CAN,0,444,206.0,18.0,37.0,11.0,198,613
8,France,6,5,3,14,1980,URS,0,454,121.0,13.0,36.0,10.0,204,631
12,France,5,7,16,28,1984,USA,0,492,238.0,21.0,51.0,13.0,226,688
9,France,6,4,6,16,1988,KOR,0,528,266.0,23.0,58.0,17.0,241,739
9,France,8,5,16,29,1992,ESP,0,573,331.0,25.0,73.0,19.0,260,815
5,France,15,7,15,37,1996,USA,0,604,293.0,25.0,82.0,29.0,271,842
6,France,13,14,11,38,2000,AUS,0,667,335.0,28.0,104.0,36.0,300,927
7,France,11,9,13,33,2004,GRE,0,669,307.0,27.0,108.0,39.0,301,926
10,France,7,16,20,43,2008,CHN,0,673,308.0,25.0,114.0,31.0,302,958
7,France,11,11,13,35,2012,UNK,0,670,323.0,28.0,111.0,29.0,303,960
7,France,10,18,14,42,2016,BRA,0,682,390.0,32.0,120.0,28.0,306,972
8,France,10,12,11,33,2020,UNK,0,761,396.0,41.0,110.0,31.0,340,1080
5,France,16,26,22,64,2024,FRA,1,738,601.0,46.0,139.0,36.0,328,1039
70,Gabon,0,1,0,1,2012,UNK,0,670,21.0,5.0,1.0,0.0,303,960
68,Georgia,0,0,2,2,1996,USA,0,604,34.0,13.0,2.0,0.0,271,842
68,Georgia,0,0,6,6,2000,AUS,0,667,36.0,12.0,8.0,0.0,300,927
32,Georgia,2,2,0,4,2004,GRE,0,669,32.0,10.0,12.0,2.0,301,926
28,Georgia,3,2,2,7,2008,CHN,0,673,35.0,11.0,17.0,5.0,302,958
40,Georgia,1,2,3,6,2012,UNK,0,670,34.0,10.0,17.0,6.0,303,960
38,Georgia,2,1,4,7,2016,BRA,0,682,40.0,12.0,20.0,6.0,306,972
33,Georgia,2,5,1,8,2020,UNK,0,761,35.0,11.0,21.0,5.0,340,1080
24,Georgia,3,3,1,7,2024,FRA,0,738,28.0,9.0,22.0,7.0,328,1039
3,Germany,6,5,2,13,1896,GRE,0,107,19.0,6.0,13.0,6.0,43,122
7,Germany,4,3,2,9,1900,FRA,0,236,33.0,6.0,22.0,10.0,96,284
2,Germany,4,5,6,15,1904,USA,0,224,22.0,8.0,37.0,14.0,97,280
5,Germany,3,5,5,13,1908,UNK,0,267,80.0,12.0,37.0,11.0,110,324
6,Germany,5,13,7,25,1912,SWE,0,236,162.0,14.0,53.0,12.0,102,312
2,Germany,10,7,14,31,1928,NED,0,252,288.0,16.0,69.0,18.0,110,327
7,Germany,5,12,7,24,1932,USA,0,268,145.0,15.0,80.0,20.0,125,370
1,Germany,38,31,32,101,1936,GER,1,302,419.0,21.0,156.0,53.0,141,422
28,Germany,0,7,17,24,1952,FIN,0,338,192.0,18.0,149.0,43.0,149,459
3,Germany,33,21,28,82,1992,ESP,0,573,457.0,26.0,207.0,71.0,260,815
3,Germany,20,18,27,65,1996,USA,0,604,459.0,26.0,171.0,53.0,271,842
5,Germany,13,17,26,56,2000,AUS,0,667,410.0,28.0,203.0,66.0,300,927
6,Germany,13,16,20,49,2004,GRE,0,669,427.0,28.0,170.0,46.0,301,926
5,Germany,16,11,14,41,2008,CHN,0,673,412.0,29.0,146.0,42.0,302,958
6,Germany,11,20,13,44,2012,UNK,0,670,374.0,26.0,134.0,40.0,303,960
5,Germany,17,10,15,42,2016,BRA,0,682,413.0,29.0,127.0,44.0,306,972
9,Germany,10,11,16,37,2020,UNK,0,761,415.0,37.0,123.0,38.0,340,1080
10,Germany,12,13,8,33,2024,FRA,0,738,457.0,42.0,112.0,39.0,328,1039
32,Ghana,0,1,0,1,1960,ITA,0,340,13.0,2.0,1.0,0.0,152,461
35,Ghana,0,0,1,1,1964,JPN,0,370,33.0,3.0,2.0,0.0,163,504
43,Ghana,0,0,1,1,1972,GER,0,439,35.0,3.0,3.0,0.0,195,600
54,Ghana,0,0,1,1,1992,ESP,0,573,34.0,4.0,3.0,0.0,260,815
86,Ghana,0,0,1,1,2020,UNK,0,761,14.0,5.0,3.0,0.0,340,1080
5,Great Britain,2,3,2,7,1896,GRE,0,107,10.0,7.0,7.0,2.0,43,122
3,Great Britain,15,7,9,31,1900,FRA,0,236,39.0,10.0,38.0,17.0,96,284
9,Great Britain,1,1,0,2,1904,USA,0,224,6.0,3.0,40.0,18.0,97,280
1,Great Britain,56,51,39,146,1908,UNK,0,267,550.0,18.0,179.0,72.0,110,324
3,Great Britain,10,15,16,41,1912,SWE,0,236,225.0,15.0,189.0,67.0,102,312
4,Great Britain,14,15,13,42,1920,BEL,0,363,225.0,20.0,229.0,80.0,155,438
4,Great Britain,9,13,12,34,1924,FRA,0,292,261.0,18.0,117.0,33.0,126,378
11,Great Britain,3,10,7,20,1928,NED,0,252,225.0,14.0,96.0,26.0,110,327
9,Great Britain,5,7,5,17,1932,USA,0,268,106.0,10.0,71.0,17.0,125,370
12,Great Britain,4,7,3,14,1936,GER,0,302,194.0,16.0,51.0,12.0,141,422
12,Great Britain,3,14,6,23,1948,UNK,0,312,395.0,20.0,54.0,12.0,138,411
18,Great Britain,1,2,8,11,1952,FIN,0,338,243.0,18.0,48.0,8.0,149,459
8,Great Britain,6,7,11,24,1956,AUS,0,342,186.0,18.0,58.0,10.0,153,469
12,Great Britain,2,6,12,20,1960,ITA,0,340,243.0,17.0,55.0,9.0,152,461
10,Great Britain,4,12,2,18,1964,JPN,0,370,196.0,17.0,62.0,12.0,163,504
10,Great Britain,5,5,3,13,1968,UNK,0,386,225.0,16.0,51.0,11.0,174,527
12,Great Britain,4,5,9,18,1972,GER,0,439,280.0,18.0,49.0,13.0,195,600
13,Great Britain,3,5,5,13,1976,CAN,0,444,242.0,17.0,44.0,12.0,198,613
9,Great Britain,5,7,9,21,1980,URS,0,454,219.0,14.0,52.0,12.0,204,631
11,Great Britain,5,11,21,37,1984,USA,0,492,337.0,20.0,71.0,13.0,226,688
12,Great Britain,5,10,9,24,1988,KOR,0,528,344.0,22.0,82.0,15.0,241,739
13,Great Britain,5,3,12,20,1992,ESP,0,573,359.0,23.0,81.0,15.0,260,815
36,Great Britain,1,8,6,15,1996,USA,0,604,298.0,22.0,59.0,11.0,271,842
10,Great Britain,11,10,7,28,2000,AUS,0,667,301.0,23.0,63.0,17.0,300,927
10,Great Britain,9,9,12,30,2004,GRE,0,669,258.0,24.0,73.0,21.0,301,926
4,Great Britain,19,13,19,51,2008,CHN,0,673,301.0,23.0,109.0,39.0,302,958
3,Great Britain,29,18,18,65,2012,UNK,0,670,525.0,32.0,146.0,57.0,303,960
2,Great Britain,27,23,17,67,2016,BRA,0,682,357.0,26.0,183.0,75.0,306,972
4,Great Britain,22,20,22,64,2020,UNK,0,761,392.0,35.0,196.0,78.0,340,1080
7,Great Britain,14,22,29,65,2024,FRA,0,738,343.0,33.0,196.0,63.0,328,1039
2,Greece,10,18,19,47,1896,GRE,1,107,101.0,9.0,47.0,10.0,43,122
11,Greece,1,0,1,2,1904,USA,0,224,11.0,2.0,49.0,11.0,97,280
15,Greece,0,3,1,4,1908,UNK,0,267,20.0,3.0,53.0,11.0,110,324
15,Greece,1,0,1,2,1912,SWE,0,236,22.0,5.0,8.0,2.0,102,312
19,Greece,0,1,0,1,1920,BEL,0,363,47.0,8.0,7.0,1.0,155,438
35,Greece,0,0,1,1,1956,AUS,0,342,11.0,4.0,4.0,1.0,153,469
21,Greece,1,0,0,1,1960,ITA,0,340,41.0,8.0,3.0,1.0,152,461
42,Greece,0,0,1,1,1968,UNK,0,386,44.0,7.0,3.0,1.0,174,527
29,Greece,0,2,0,2,1972,GER,0,439,60.0,9.0,4.0,1.0,195,600
22,Greece,1,0,2,3,1980,URS,0,454,41.0,8.0,6.0,1.0,204,631
30,Greece,0,1,1,2,1984,USA,0,492,63.0,11.0,7.0,1.0,226,688
46,Greece,0,0,1,1,1988,KOR,0,528,56.0,12.0,6.0,1.0,241,739
26,Greece,2,0,0,2,1992,ESP,0,573,70.0,17.0,5.0,2.0,260,815
16,Greece,4,4,0,8,1996,USA,0,604,121.0,18.0,11.0,6.0,271,842
17,Greece,4,6,3,13,2000,AUS,0,667,140.0,23.0,23.0,10.0,300,927
15,Greece,6,6,4,16,2004,GRE,1,669,422.0,33.0,37.0,14.0,301,926
60,Greece,0,2,1,3,2008,CHN,0,673,148.0,22.0,32.0,10.0,302,958
77,Greece,0,0,2,2,2012,UNK,0,670,102.0,20.0,21.0,6.0,303,960
25,Greece,3,1,2,6,2016,BRA,0,682,92.0,16.0,11.0,3.0,306,972
36,Greece,2,1,1,4,2020,UNK,0,761,82.0,20.0,12.0,5.0,340,1080
51,Greece,1,1,6,8,2024,FRA,0,738,100.0,17.0,18.0,6.0,328,1039
50,Grenada,1,0,0,1,2012,UNK,0,670,8.0,3.0,1.0,1.0,303,960
69,Grenada,0,1,0,1,2016,BRA,0,682,6.0,2.0,2.0,1.0,306,972
86,Grenada,0,0,1,1,2020,UNK,0,761,6.0,2.0,3.0,1.0,340,1080
80,Grenada,0,0,2,2,2024,FRA,0,738,6.0,2.0,4.0,0.0,328,1039
70,Guatemala,0,1,0,1,2012,UNK,0,670,19.0,11.0,1.0,0.0,303,960
60,Guatemala,1,0,1,2,2024,FRA,0,738,16.0,7.0,3.0,1.0,328,1039
