Rank,NOC,Gold,Silver,Bronze,Total,Year,Host_NOC,Host_Flag,Total_Events_Per_Year,Athlete_Count,Sport_Count,Historical_Total,Historical_Gold,Gold_Total,Total_Total
35,Guyana,0,0,1,1,1980,URS,0,454,8.0,3.0,1.0,0.0,204,631
23,Haiti,0,0,1,1,1924,FRA,0,292,8.0,2.0,1.0,0.0,126,378
30,Haiti,0,1,0,1,1928,NED,0,252,2.0,1.0,2.0,0.0,110,327
49,Hong Kong,1,0,0,1,1996,USA,0,604,22.0,10.0,1.0,1.0,271,842
65,Hong Kong,0,1,0,1,2004,GRE,0,669,30.0,10.0,2.0,1.0,301,926
79,Hong Kong,0,0,1,1,2012,UNK,0,670,41.0,13.0,3.0,1.0,303,960
49,Hong Kong,1,2,3,6,2020,UNK,0,761,0.0,0.0,8.0,1.0,340,1080
37,Hong Kong,2,0,2,4,2024,FRA,0,738,0.0,0.0,11.0,3.0,328,1039
6,Hungary,2,1,3,6,1896,GRE,0,107,7.0,6.0,6.0,2.0,43,122
11,Hungary,1,2,2,5,1900,FRA,0,236,18.0,4.0,11.0,3.0,96,284
5,Hungary,2,1,1,4,1904,USA,0,224,4.0,2.0,15.0,5.0,97,280
6,Hungary,3,4,2,9,1908,UNK,0,267,56.0,8.0,18.0,6.0,110,324
9,Hungary,3,2,3,8,1912,SWE,0,236,112.0,11.0,21.0,8.0,102,312
13,Hungary,2,3,4,9,1924,FRA,0,292,89.0,12.0,26.0,8.0,126,378
9,Hungary,4,5,0,9,1928,NED,0,252,104.0,12.0,26.0,9.0,110,327
6,Hungary,6,5,5,16,1932,USA,0,268,58.0,11.0,34.0,12.0,125,370
3,Hungary,10,1,5,16,1936,GER,0,302,215.0,20.0,41.0,20.0,141,422
4,Hungary,10,5,12,27,1948,UNK,0,312,128.0,15.0,59.0,26.0,138,411
3,Hungary,16,10,16,42,1952,FIN,0,338,188.0,15.0,85.0,36.0,149,459
4,Hungary,9,10,7,26,1956,AUS,0,342,111.0,13.0,95.0,35.0,153,469
7,Hungary,6,8,7,21,1960,ITA,0,340,179.0,18.0,89.0,31.0,152,461
6,Hungary,10,7,5,22,1964,JPN,0,370,182.0,17.0,69.0,25.0,163,504
4,Hungary,10,10,12,32,1968,UNK,0,386,166.0,15.0,75.0,26.0,174,527
8,Hungary,6,13,16,35,1972,GER,0,439,226.0,20.0,89.0,26.0,195,600
10,Hungary,4,5,13,22,1976,CAN,0,444,177.0,17.0,89.0,20.0,198,613
6,Hungary,7,10,15,32,1980,URS,0,454,260.0,21.0,89.0,17.0,204,631
6,Hungary,11,6,6,23,1988,KOR,0,528,188.0,20.0,77.0,22.0,241,739
8,Hungary,11,12,7,30,1992,ESP,0,573,215.0,23.0,85.0,29.0,260,815
12,Hungary,7,4,10,21,1996,USA,0,604,212.0,24.0,74.0,29.0,271,842
13,Hungary,8,6,3,17,2000,AUS,0,667,178.0,23.0,68.0,26.0,300,927
12,Hungary,8,6,3,17,2004,GRE,0,669,206.0,20.0,55.0,23.0,301,926
21,Hungary,3,5,2,10,2008,CHN,0,673,169.0,20.0,44.0,19.0,302,958
10,Hungary,8,4,6,18,2012,UNK,0,670,151.0,21.0,45.0,19.0,303,960
12,Hungary,8,3,4,15,2016,BRA,0,682,153.0,20.0,43.0,19.0,306,972
15,Hungary,6,7,7,20,2020,UNK,0,761,171.0,25.0,53.0,22.0,340,1080
14,Hungary,6,7,6,19,2024,FRA,0,738,177.0,24.0,54.0,20.0,328,1039
31,Iceland,0,1,0,1,1956,AUS,0,342,2.0,1.0,1.0,0.0,153,469
43,Iceland,0,0,1,1,1984,USA,0,492,30.0,5.0,2.0,0.0,226,688
71,Iceland,0,0,1,1,2000,AUS,0,667,18.0,5.0,3.0,0.0,300,927
72,Iceland,0,1,0,1,2008,CHN,0,673,27.0,5.0,3.0,0.0,302,958
51,Independent Olympic Athletes,1,0,1,2,2016,BRA,0,682,0.0,0.0,2.0,1.0,306,972
44,Independent Olympic Participants,0,1,2,3,1992,ESP,0,573,0.0,0.0,3.0,0.0,260,815
19,India,0,2,0,2,1900,FRA,0,236,1.0,1.0,2.0,0.0,96,284
24,India,1,0,0,1,1928,NED,0,252,21.0,2.0,3.0,1.0,110,327
19,India,1,0,0,1,1932,USA,0,268,19.0,3.0,4.0,2.0,125,370
20,India,1,0,0,1,1936,GER,0,302,27.0,4.0,3.0,3.0,141,422
22,India,1,0,0,1,1948,UNK,0,312,79.0,10.0,3.0,3.0,138,411
26,India,1,0,1,2,1952,FIN,0,338,64.0,11.0,4.0,3.0,149,459
24,India,1,0,0,1,1956,AUS,0,342,58.0,8.0,4.0,3.0,153,469
32,India,0,1,0,1,1960,ITA,0,340,45.0,6.0,4.0,2.0,152,461
24,India,1,0,0,1,1964,JPN,0,370,52.0,8.0,3.0,2.0,163,504
42,India,0,0,1,1,1968,UNK,0,386,23.0,5.0,3.0,1.0,174,527
43,India,0,0,1,1,1972,GER,0,439,41.0,7.0,3.0,1.0,195,600
23,India,1,0,0,1,1980,URS,0,454,71.0,8.0,3.0,1.0,204,631
71,India,0,0,1,1,1996,USA,0,604,49.0,13.0,3.0,1.0,271,842
71,India,0,0,1,1,2000,AUS,0,667,65.0,13.0,3.0,1.0,300,927
65,India,0,1,0,1,2004,GRE,0,669,73.0,14.0,3.0,0.0,301,926
51,India,1,0,2,3,2008,CHN,0,673,53.0,12.0,5.0,1.0,302,958
57,India,0,2,4,6,2012,UNK,0,670,79.0,13.0,10.0,1.0,303,960
67,India,0,1,1,2,2016,BRA,0,682,112.0,15.0,11.0,1.0,306,972
48,India,1,2,4,7,2020,UNK,0,761,126.0,18.0,15.0,1.0,340,1080
71,India,0,1,5,6,2024,FRA,0,738,112.0,16.0,15.0,1.0,328,1039
36,Indonesia,0,1,0,1,1988,KOR,0,528,29.0,11.0,1.0,0.0,241,739
24,Indonesia,2,2,1,5,1992,ESP,0,573,34.0,10.0,6.0,2.0,260,815
41,Indonesia,1,1,2,4,1996,USA,0,604,28.0,11.0,10.0,3.0,271,842
38,Indonesia,1,3,2,6,2000,AUS,0,667,35.0,12.0,15.0,4.0,300,927
48,Indonesia,1,1,2,4,2004,GRE,0,669,30.0,14.0,14.0,3.0,301,926
40,Indonesia,1,1,4,6,2008,CHN,0,673,18.0,7.0,16.0,3.0,302,958
60,Indonesia,0,2,1,3,2012,UNK,0,670,22.0,8.0,13.0,2.0,303,960
46,Indonesia,1,2,0,3,2016,BRA,0,682,24.0,7.0,12.0,2.0,306,972
55,Indonesia,1,1,3,5,2020,UNK,0,761,28.0,8.0,11.0,2.0,340,1080
39,Indonesia,2,0,1,3,2024,FRA,0,738,29.0,12.0,11.0,4.0,328,1039
34,Iran,0,0,1,1,1948,UNK,0,312,36.0,5.0,1.0,0.0,138,411
30,Iran,0,3,4,7,1952,FIN,0,338,22.0,4.0,8.0,0.0,149,459
14,Iran,2,2,1,5,1956,AUS,0,342,17.0,3.0,13.0,2.0,153,469
27,Iran,0,1,3,4,1960,ITA,0,340,23.0,5.0,16.0,2.0,152,461
34,Iran,0,0,2,2,1964,JPN,0,370,62.0,11.0,11.0,2.0,163,504
19,Iran,2,1,2,5,1968,UNK,0,386,14.0,3.0,11.0,2.0,174,527
28,Iran,0,2,1,3,1972,GER,0,439,48.0,7.0,10.0,2.0,195,600
33,Iran,0,1,1,2,1976,CAN,0,444,84.0,9.0,10.0,2.0,198,613
36,Iran,0,1,0,1,1988,KOR,0,528,23.0,3.0,6.0,0.0,241,739
44,Iran,0,1,2,3,1992,ESP,0,573,36.0,6.0,6.0,0.0,260,815
43,Iran,1,1,1,3,1996,USA,0,604,18.0,6.0,7.0,1.0,271,842
27,Iran,3,0,1,4,2000,AUS,0,667,33.0,12.0,10.0,4.0,300,927
29,Iran,2,2,2,6,2004,GRE,0,669,37.0,10.0,13.0,6.0,301,926
52,Iran,1,0,1,2,2008,CHN,0,673,54.0,12.0,12.0,6.0,302,958
12,Iran,7,5,1,13,2012,UNK,0,670,52.0,13.0,21.0,10.0,303,960
24,Iran,3,1,4,8,2016,BRA,0,682,63.0,15.0,23.0,11.0,306,972
27,Iran,3,2,2,7,2020,UNK,0,761,65.0,17.0,28.0,13.0,340,1080
21,Iran,3,6,3,12,2024,FRA,0,738,0.0,0.0,27.0,9.0,328,1039
41,Iraq,0,0,1,1,1960,ITA,0,340,21.0,5.0,1.0,0.0,152,461
24,Ireland,1,0,0,1,1928,NED,0,252,38.0,6.0,1.0,1.0,110,327
16,Ireland,2,0,0,2,1932,USA,0,268,16.0,3.0,3.0,3.0,125,370
34,Ireland,0,1,0,1,1952,FIN,0,338,19.0,6.0,4.0,3.0,149,459
21,Ireland,1,1,3,5,1956,AUS,0,342,18.0,5.0,8.0,3.0,153,469
35,Ireland,0,0,1,1,1964,JPN,0,370,22.0,7.0,7.0,1.0,163,504
31,Ireland,0,1,1,2,1980,URS,0,454,47.0,11.0,8.0,1.0,204,631
33,Ireland,0,1,0,1,1984,USA,0,492,42.0,10.0,4.0,0.0,226,688
32,Ireland,1,1,0,2,1992,ESP,0,573,58.0,12.0,5.0,1.0,260,815
28,Ireland,3,0,1,4,1996,USA,0,604,78.0,13.0,7.0,4.0,271,842
64,Ireland,0,1,0,1,2000,AUS,0,667,64.0,10.0,7.0,4.0,300,927
64,Ireland,0,1,2,3,2008,CHN,0,673,55.0,12.0,8.0,3.0,302,958
41,Ireland,1,1,4,6,2012,UNK,0,670,64.0,14.0,10.0,1.0,303,960
63,Ireland,0,2,0,2,2016,BRA,0,682,76.0,14.0,11.0,1.0,306,972
39,Ireland,2,0,2,4,2020,UNK,0,761,125.0,20.0,12.0,3.0,340,1080
19,Ireland,4,0,3,7,2024,FRA,0,738,143.0,17.0,13.0,6.0,328,1039
48,Israel,0,1,1,2,1992,ESP,0,573,30.0,10.0,2.0,0.0,260,815
71,Israel,0,0,1,1,1996,USA,0,604,25.0,10.0,3.0,0.0,271,842
71,Israel,0,0,1,1,2000,AUS,0,667,39.0,9.0,4.0,0.0,300,927
52,Israel,1,0,1,2,2004,GRE,0,669,36.0,14.0,4.0,1.0,301,926
82,Israel,0,0,1,1,2008,CHN,0,673,43.0,12.0,4.0,1.0,302,958
77,Israel,0,0,2,2,2016,BRA,0,682,47.0,16.0,5.0,1.0,306,972
39,Israel,2,0,2,4,2020,UNK,0,761,90.0,19.0,7.0,2.0,340,1080
41,Israel,1,5,1,7,2024,FRA,0,738,89.0,20.0,13.0,3.0,328,1039
8,Italy,3,2,0,5,1900,FRA,0,236,23.0,6.0,5.0,3.0,96,284
9,Italy,2,2,0,4,1908,UNK,0,267,66.0,8.0,9.0,5.0,110,324
11,Italy,3,1,2,6,1912,SWE,0,236,66.0,8.0,15.0,8.0,102,312
7,Italy,13,5,5,23,1920,BEL,0,363,173.0,18.0,33.0,18.0,155,438
5,Italy,8,3,5,16,1924,FRA,0,292,196.0,17.0,45.0,24.0,126,378
5,Italy,7,5,7,19,1928,NED,0,252,163.0,15.0,58.0,28.0,110,327
2,Italy,12,12,12,36,1932,USA,0,268,112.0,13.0,71.0,27.0,125,370
4,Italy,9,13,5,27,1936,GER,0,302,230.0,16.0,82.0,28.0,141,422
5,Italy,8,11,8,27,1948,UNK,0,312,201.0,16.0,90.0,29.0,138,411
5,Italy,8,9,4,21,1952,FIN,0,338,218.0,19.0,75.0,25.0,149,459
5,Italy,8,8,9,25,1956,AUS,0,342,124.0,14.0,73.0,24.0,153,469
3,Italy,13,10,13,36,1960,ITA,1,340,270.0,19.0,82.0,29.0,152,461
5,Italy,10,10,7,27,1964,JPN,0,370,157.0,17.0,88.0,31.0,163,504
13,Italy,3,4,9,16,1968,UNK,0,386,167.0,17.0,79.0,26.0,174,527
10,Italy,5,3,10,18,1972,GER,0,439,223.0,19.0,61.0,18.0,195,600
14,Italy,2,7,4,13,1976,CAN,0,444,209.0,20.0,47.0,10.0,198,613
5,Italy,8,3,4,15,1980,URS,0,454,159.0,19.0,46.0,15.0,204,631
5,Italy,14,6,12,32,1984,USA,0,492,268.0,23.0,60.0,24.0,226,688
10,Italy,6,4,4,14,1988,KOR,0,528,253.0,23.0,61.0,28.0,241,739
12,Italy,6,5,8,19,1992,ESP,0,573,304.0,26.0,65.0,26.0,260,815
6,Italy,13,10,12,35,1996,USA,0,604,340.0,27.0,68.0,25.0,271,842
7,Italy,13,8,13,34,2000,AUS,0,667,357.0,29.0,88.0,32.0,300,927
8,Italy,10,11,11,32,2004,GRE,0,669,363.0,30.0,101.0,36.0,301,926
9,Italy,8,9,10,27,2008,CHN,0,673,332.0,29.0,93.0,31.0,302,958
9,Italy,8,9,11,28,2012,UNK,0,670,281.0,28.0,87.0,26.0,303,960
9,Italy,8,12,8,28,2016,BRA,0,682,305.0,26.0,83.0,24.0,306,972
10,Italy,10,10,20,40,2020,UNK,0,761,377.0,39.0,96.0,26.0,340,1080
9,Italy,12,13,15,40,2024,FRA,0,738,397.0,39.0,108.0,30.0,328,1039
33,Ivory Coast,0,1,0,1,1984,USA,0,492,0.0,0.0,1.0,0.0,226,688
51,Ivory Coast,1,0,1,2,2016,BRA,0,682,0.0,0.0,3.0,1.0,306,972
86,Ivory Coast,0,0,1,1,2020,UNK,0,761,31.0,6.0,4.0,1.0,340,1080
84,Ivory Coast,0,0,1,1,2024,FRA,0,738,0.0,0.0,4.0,1.0,328,1039
20,Jamaica,1,2,0,3,1948,UNK,0,312,13.0,3.0,3.0,1.0,138,411
13,Jamaica,2,3,0,5,1952,FIN,0,338,8.0,2.0,8.0,3.0,149,459
39,Jamaica,0,1,0,1,1968,UNK,0,386,25.0,5.0,9.0,3.0,174,527
43,Jamaica,0,0,1,1,1972,GER,0,439,32.0,6.0,7.0,2.0,195,600
21,Jamaica,1,1,0,2,1976,CAN,0,444,20.0,3.0,4.0,1.0,198,613
34,Jamaica,0,0,3,3,1980,URS,0,454,18.0,2.0,6.0,1.0,204,631
28,Jamaica,0,1,2,3,1984,USA,0,492,45.0,5.0,8.0,1.0,226,688
34,Jamaica,0,2,0,2,1988,KOR,0,528,35.0,5.0,8.0,0.0,241,739
38,Jamaica,0,3,1,4,1992,ESP,0,573,36.0,5.0,9.0,0.0,260,815
39,Jamaica,1,3,2,6,1996,USA,0,604,46.0,5.0,12.0,1.0,271,842
54,Jamaica,0,6,3,9,2000,AUS,0,667,48.0,4.0,19.0,1.0,300,927
35,Jamaica,2,1,2,5,2004,GRE,0,669,47.0,4.0,20.0,3.0,301,926
15,Jamaica,5,4,2,11,2008,CHN,0,673,50.0,4.0,25.0,7.0,302,958
18,Jamaica,4,5,4,13,2012,UNK,0,670,45.0,4.0,29.0,11.0,303,960
16,Jamaica,6,3,2,11,2016,BRA,0,682,56.0,4.0,35.0,15.0,306,972
21,Jamaica,4,1,4,9,2020,UNK,0,761,61.0,6.0,33.0,14.0,340,1080
44,Jamaica,1,3,2,6,2024,FRA,0,738,65.0,4.0,26.0,11.0,328,1039
17,Japan,0,2,0,2,1920,BEL,0,363,15.0,4.0,2.0,0.0,155,438
23,Japan,0,0,1,1,1924,FRA,0,292,19.0,4.0,3.0,0.0,126,378
15,Japan,2,2,1,5,1928,NED,0,252,40.0,7.0,8.0,2.0,110,327
5,Japan,7,7,4,18,1932,USA,0,268,157.0,11.0,24.0,9.0,125,370
8,Japan,6,4,10,20,1936,GER,0,302,217.0,13.0,43.0,15.0,141,422
17,Japan,1,6,2,9,1952,FIN,0,338,69.0,13.0,47.0,14.0,149,459
10,Japan,4,10,5,19,1956,AUS,0,342,112.0,14.0,48.0,11.0,153,469
8,Japan,4,7,7,18,1960,ITA,0,340,156.0,17.0,46.0,9.0,152,461
3,Japan,16,5,8,29,1964,JPN,1,370,318.0,21.0,66.0,24.0,163,504
3,Japan,11,7,7,25,1968,UNK,0,386,171.0,18.0,72.0,31.0,174,527
5,Japan,13,8,8,29,1972,GER,0,439,184.0,21.0,83.0,40.0,195,600
5,Japan,9,6,10,25,1976,CAN,0,444,213.0,20.0,79.0,33.0,198,613
7,Japan,10,8,14,32,1984,USA,0,492,226.0,22.0,86.0,32.0,226,688
14,Japan,4,3,7,14,1988,KOR,0,528,254.0,23.0,71.0,23.0,241,739
17,Japan,3,8,11,22,1992,ESP,0,573,247.0,24.0,68.0,17.0,260,815
23,Japan,3,6,5,14,1996,USA,0,604,296.0,27.0,50.0,10.0,271,842
15,Japan,5,8,5,18,2000,AUS,0,667,255.0,27.0,54.0,11.0,300,927
5,Japan,16,9,12,37,2004,GRE,0,669,300.0,31.0,69.0,24.0,301,926
8,Japan,9,8,8,25,2008,CHN,0,673,324.0,31.0,80.0,30.0,302,958
11,Japan,7,14,17,38,2012,UNK,0,670,287.0,29.0,100.0,32.0,303,960
6,Japan,12,8,21,41,2016,BRA,0,682,335.0,32.0,104.0,28.0,306,972
3,Japan,27,14,17,58,2020,UNK,0,761,613.0,46.0,137.0,46.0,340,1080
3,Japan,20,12,13,45,2024,FRA,0,738,430.0,41.0,144.0,59.0,328,1039
54,Jordan,1,0,0,1,2016,BRA,0,682,8.0,6.0,1.0,1.0,306,972
74,Jordan,0,1,1,2,2020,UNK,0,761,14.0,8.0,3.0,1.0,340,1080
74,Jordan,0,1,0,1,2024,FRA,0,738,12.0,6.0,4.0,1.0,328,1039
24,Kazakhstan,3,4,4,11,1996,USA,0,604,96.0,14.0,11.0,3.0,271,842
22,Kazakhstan,3,4,0,7,2000,AUS,0,667,130.0,17.0,18.0,6.0,300,927
40,Kazakhstan,1,4,3,8,2004,GRE,0,669,114.0,17.0,26.0,7.0,301,926
29,Kazakhstan,2,3,4,9,2008,CHN,0,673,130.0,19.0,24.0,6.0,302,958
23,Kazakhstan,3,2,6,11,2012,UNK,0,670,113.0,19.0,28.0,6.0,303,960
30,Kazakhstan,2,5,10,17,2016,BRA,0,682,101.0,19.0,37.0,7.0,306,972
83,Kazakhstan,0,0,8,8,2020,UNK,0,761,97.0,25.0,36.0,5.0,340,1080
43,Kazakhstan,1,3,3,7,2024,FRA,0,738,79.0,23.0,32.0,3.0,328,1039
35,Kenya,0,0,1,1,1964,JPN,0,370,37.0,5.0,1.0,0.0,163,504
14,Kenya,3,4,2,9,1968,UNK,0,386,39.0,4.0,10.0,3.0,174,527
19,Kenya,2,3,4,9,1972,GER,0,439,57.0,4.0,19.0,5.0,195,600
23,Kenya,1,0,2,3,1984,USA,0,492,61.0,5.0,21.0,6.0,226,688
13,Kenya,5,2,2,9,1988,KOR,0,528,74.0,7.0,21.0,8.0,241,739
21,Kenya,2,4,2,8,1992,ESP,0,573,49.0,5.0,20.0,8.0,260,815
38,Kenya,1,4,3,8,1996,USA,0,604,52.0,5.0,25.0,8.0,271,842
29,Kenya,2,3,2,7,2000,AUS,0,667,56.0,6.0,23.0,5.0,300,927
41,Kenya,1,4,2,7,2004,GRE,0,669,46.0,4.0,22.0,4.0,301,926
13,Kenya,6,4,6,16,2008,CHN,0,673,46.0,5.0,30.0,9.0,302,958
29,Kenya,2,4,7,13,2012,UNK,0,670,47.0,4.0,36.0,9.0,303,960
15,Kenya,6,6,1,13,2016,BRA,0,682,79.0,7.0,42.0,14.0,306,972
19,Kenya,4,4,2,10,2020,UNK,0,761,87.0,7.0,36.0,12.0,340,1080
17,Kenya,4,2,5,11,2024,FRA,0,738,74.0,6.0,34.0,14.0,328,1039
54,Kosovo,1,0,0,1,2016,BRA,0,682,8.0,5.0,1.0,1.0,306,972
42,Kosovo,2,0,0,2,2020,UNK,0,761,11.0,6.0,3.0,3.0,340,1080
73,Kosovo,0,1,1,2,2024,FRA,0,738,9.0,4.0,5.0,3.0,328,1039
71,Kuwait,0,0,1,1,2000,AUS,0,667,29.0,6.0,1.0,0.0,300,927
79,Kuwait,0,0,1,1,2012,UNK,0,670,10.0,4.0,2.0,0.0,303,960
86,Kuwait,0,0,1,1,2020,UNK,0,761,10.0,5.0,3.0,0.0,340,1080
71,Kyrgyzstan,0,0,1,1,2000,AUS,0,667,48.0,9.0,1.0,0.0,300,927
64,Kyrgyzstan,0,1,2,3,2008,CHN,0,673,20.0,9.0,4.0,0.0,302,958
70,Kyrgyzstan,0,2,1,3,2020,UNK,0,761,16.0,7.0,7.0,0.0,340,1080
68,Kyrgyzstan,0,2,4,6,2024,FRA,0,738,16.0,5.0,12.0,0.0,328,1039
22,Latvia,0,1,0,1,1932,USA,0,268,5.0,2.0,1.0,0.0,125,370
24,Latvia,0,1,1,2,1936,GER,0,302,29.0,6.0,3.0,0.0,141,422
40,Latvia,0,2,1,3,1992,ESP,0,573,34.0,13.0,6.0,0.0,260,815
61,Latvia,0,1,0,1,1996,USA,0,604,47.0,12.0,6.0,0.0,271,842
44,Latvia,1,1,1,3,2000,AUS,0,667,45.0,13.0,7.0,1.0,300,927
58,Latvia,0,4,0,4,2004,GRE,0,669,32.0,11.0,8.0,1.0,301,926
46,Latvia,1,1,1,3,2008,CHN,0,673,47.0,11.0,10.0,2.0,302,958
48,Latvia,1,0,1,2,2012,UNK,0,670,41.0,11.0,9.0,2.0,303,960
59,Latvia,1,0,1,2,2020,UNK,0,761,33.0,15.0,7.0,3.0,340,1080
32,Lebanon,0,1,1,2,1952,FIN,0,338,9.0,4.0,2.0,0.0,149,459
33,Lebanon,0,1,0,1,1972,GER,0,439,19.0,9.0,3.0,0.0,195,600
35,Lebanon,0,0,1,1,1980,URS,0,454,15.0,8.0,4.0,0.0,204,631
34,Lithuania,1,0,1,2,1992,ESP,0,573,47.0,11.0,2.0,1.0,260,815
71,Lithuania,0,0,1,1,1996,USA,0,604,61.0,14.0,3.0,1.0,271,842
33,Lithuania,2,0,3,5,2000,AUS,0,667,61.0,15.0,8.0,3.0,300,927
45,Lithuania,1,2,0,3,2004,GRE,0,669,59.0,13.0,9.0,3.0,301,926
57,Lithuania,0,3,2,5,2008,CHN,0,673,71.0,16.0,13.0,3.0,302,958
35,Lithuania,2,0,3,5,2012,UNK,0,670,62.0,14.0,13.0,3.0,303,960
65,Lithuania,0,1,3,4,2016,BRA,0,682,67.0,15.0,14.0,2.0,306,972
77,Lithuania,0,1,0,1,2020,UNK,0,761,42.0,13.0,10.0,2.0,340,1080
70,Lithuania,0,2,2,4,2024,FRA,0,738,51.0,14.0,9.0,0.0,328,1039
14,Luxembourg,1,0,0,1,1900,FRA,0,236,1.0,1.0,1.0,1.0,96,284
19,Luxembourg,0,1,0,1,1920,BEL,0,363,25.0,6.0,2.0,1.0,155,438
27,Luxembourg,1,0,0,1,1952,FIN,0,338,44.0,9.0,3.0,2.0,149,459
71,Macedonia,0,0,1,1,2000,AUS,0,667,10.0,5.0,1.0,0.0,300,927
54,Malaysia,0,0,1,1,1992,ESP,0,573,22.0,6.0,1.0,0.0,260,815
58,Malaysia,0,1,1,2,1996,USA,0,604,31.0,8.0,3.0,0.0,271,842
72,Malaysia,0,1,0,1,2008,CHN,0,673,27.0,10.0,4.0,0.0,302,958
65,Malaysia,0,1,1,2,2012,UNK,0,670,28.0,9.0,5.0,0.0,303,960
60,Malaysia,0,4,1,5,2016,BRA,0,682,32.0,10.0,8.0,0.0,306,972
74,Malaysia,0,1,1,2,2020,UNK,0,761,30.0,10.0,9.0,0.0,340,1080
80,Malaysia,0,0,2,2,2024,FRA,0,738,26.0,11.0,9.0,0.0,328,1039
82,Mauritius,0,0,1,1,2008,CHN,0,673,11.0,7.0,1.0,0.0,302,958
21,Mexico,0,2,0,2,1932,USA,0,268,72.0,12.0,2.0,0.0,125,370
28,Mexico,0,0,3,3,1936,GER,0,302,32.0,8.0,5.0,0.0,141,422
17,Mexico,2,1,2,5,1948,UNK,0,312,88.0,14.0,10.0,2.0,138,411
34,Mexico,0,1,0,1,1952,FIN,0,338,64.0,13.0,9.0,2.0,149,459
23,Mexico,1,0,1,2,1956,AUS,0,342,24.0,10.0,8.0,3.0,153,469
41,Mexico,0,0,1,1,1960,ITA,0,340,67.0,13.0,4.0,1.0,152,461
35,Mexico,0,0,1,1,1964,JPN,0,370,83.0,15.0,4.0,1.0,163,504
15,Mexico,3,3,3,9,1968,UNK,0,386,272.0,20.0,11.0,3.0,174,527
33,Mexico,0,1,0,1,1972,GER,0,439,171.0,20.0,11.0,3.0,195,600
25,Mexico,1,0,1,2,1976,CAN,0,444,96.0,17.0,12.0,4.0,198,613
29,Mexico,0,1,3,4,1980,URS,0,454,45.0,12.0,7.0,1.0,204,631
17,Mexico,2,3,1,6,1984,USA,0,492,98.0,18.0,12.0,3.0,226,688
44,Mexico,0,0,2,2,1988,KOR,0,528,81.0,17.0,12.0,2.0,241,739
49,Mexico,0,1,0,1,1992,ESP,0,573,102.0,18.0,9.0,2.0,260,815
71,Mexico,0,0,1,1,1996,USA,0,604,97.0,19.0,4.0,0.0,271,842
40,Mexico,1,2,3,6,2000,AUS,0,667,78.0,19.0,8.0,1.0,300,927
59,Mexico,0,3,1,4,2004,GRE,0,669,109.0,20.0,11.0,1.0,301,926
36,Mexico,2,0,2,4,2008,CHN,0,673,83.0,23.0,14.0,3.0,302,958
39,Mexico,1,3,4,8,2012,UNK,0,670,99.0,23.0,16.0,3.0,303,960
61,Mexico,0,3,2,5,2016,BRA,0,682,122.0,27.0,17.0,3.0,306,972
84,Mexico,0,0,4,4,2020,UNK,0,761,162.0,31.0,17.0,1.0,340,1080
65,Mexico,0,3,2,5,2024,FRA,0,738,108.0,29.0,14.0,0.0,328,1039
11,Mixed team,1,0,1,2,1896,GRE,0,107,0.0,0.0,2.0,1.0,43,122
4,Mixed team,8,5,6,19,1900,FRA,0,236,0.0,0.0,21.0,9.0,96,284
5,Mixed team,2,1,1,4,1904,USA,0,224,0.0,0.0,25.0,11.0,97,280
58,Moldova,0,1,1,2,1996,USA,0,604,40.0,10.0,2.0,0.0,271,842
61,Moldova,0,1,1,2,2000,AUS,0,667,34.0,7.0,4.0,0.0,300,927
82,Moldova,0,0,1,1,2008,CHN,0,673,29.0,8.0,5.0,0.0,302,958
86,Moldova,0,0,1,1,2020,UNK,0,761,20.0,8.0,4.0,0.0,340,1080
72,Moldova,0,1,3,4,2024,FRA,0,738,0.0,0.0,6.0,0.0,328,1039
34,Mongolia,0,1,3,4,1968,UNK,0,386,16.0,4.0,4.0,0.0,174,527
33,Mongolia,0,1,0,1,1972,GER,0,439,39.0,7.0,5.0,0.0,195,600
34,Mongolia,0,1,0,1,1976,CAN,0,444,32.0,5.0,6.0,0.0,198,613
27,Mongolia,0,2,2,4,1980,URS,0,454,43.0,8.0,6.0,0.0,204,631
46,Mongolia,0,0,1,1,1988,KOR,0,528,28.0,5.0,6.0,0.0,241,739
52,Mongolia,0,0,2,2,1992,ESP,0,573,33.0,8.0,7.0,0.0,260,815
71,Mongolia,0,0,1,1,1996,USA,0,604,16.0,7.0,4.0,0.0,271,842
71,Mongolia,0,0,1,1,2004,GRE,0,669,20.0,7.0,4.0,0.0,301,926
33,Mongolia,2,2,0,4,2008,CHN,0,673,28.0,7.0,6.0,2.0,302,958
58,Mongolia,0,2,3,5,2012,UNK,0,670,29.0,7.0,10.0,2.0,303,960
67,Mongolia,0,1,1,2,2016,BRA,0,682,43.0,9.0,11.0,2.0,306,972
71,Mongolia,0,1,3,4,2020,UNK,0,761,43.0,10.0,11.0,0.0,340,1080
